"lon","lat","CDD","CFD","CSU","ECAr20mm","FD","GDD","MAP","MATmax","MATmin","rr2","sdii","SU","MMP.01","MMP.02","MMP.03","MMP.04","MMP.05","MMP.06","MMP.07","MMP.08","MMP.09","MMP.10","MMP.11","MMP.12","MMTmax.01","MMTmax.02","MMTmax.03","MMTmax.04","MMTmax.05","MMTmax.06","MMTmax.07","MMTmax.08","MMTmax.09","MMTmax.10","MMTmax.11","MMTmax.12","MMTmin.01","MMTmin.02","MMTmin.03","MMTmin.04","MMTmin.05","MMTmin.06","MMTmin.07","MMTmin.08","MMTmin.09","MMTmin.10","MMTmin.11","MMTmin.12","MTmax.01","MTmax.02","MTmax.03","MTmax.04","MTmax.05","MTmax.06","MTmax.07","MTmax.08","MTmax.09","MTmax.10","MTmax.11","MTmax.12","MTmin.01","MTmin.02","MTmin.03","MTmin.04","MTmin.05","MTmin.06","MTmin.07","MTmin.08","MTmin.09","MTmin.10","MTmin.11","MTmin.12","MAT","ratio"
20.42117,-34.44317,31.3,0.45,1,3.35,0.6,200251.761513158,533.873585510254,22.2572087287903,11.9178813457489,61.15,5.19523644447327,109.5,28.1051536560059,31.8362976074219,49.7844442367554,54.5553891181946,43.580493927002,42.4757402420044,58.2951389312744,51.1393931388855,32.8687204837799,51.2956474781036,44.823762011528,36.9962971448898,26.0572727203369,26.8365347120497,25.3061696158515,23.248447948032,20.7886629104614,18.769198735555,17.9326648712158,18.1346765094333,19.6516299777561,21.91441822052,23.3391848670112,23.3391848670112,16.5523516654968,17.5361222161187,15.8223152160645,13.5016759236654,10.5250047577752,7.8335514333513,6.58919774161445,6.86961984634399,8.72666560278999,11.2944291962518,13.4011259608799,15.1832397778829,29.7585509300232,30.825978120168,29.6464790768094,27.8413516150581,25.2895038922628,22.564268483056,21.9446522394816,22.792281627655,24.2885603904724,26.7834597693549,27.7651788923475,28.8235851923625,13.9635370016098,15.2278237751552,13.0411555971418,10.639517566136,7.66678239277431,5.05605666296823,3.85230167933873,4.25989988190787,5.97935010365077,8.40287705830165,10.8585637501308,12.7881574358259,17.0881991442249,0.0762202186470771
20.73684,-34.44121,29.5,0.35,1,3.95,0.45,200269.691611842,580.939349365234,22.4036001205444,11.9704430580139,65.3,5.41157054901123,115,34.0214175224304,37.8320776939392,60.6706953048706,58.3209762573242,52.6626916885376,49.2297905921936,51.679797077179,49.530454158783,37.1861382961273,54.5390094280243,49.454807472229,35.5229719400406,26.5010799407959,27.1466364330716,25.5829429626465,23.2777519226074,20.7301916546292,18.5964459313287,17.8329914940728,18.1769562827216,19.8021744622125,22.1271290249295,23.6574618021647,23.6574618021647,16.5161387443542,17.3330461714003,15.6989272965325,13.4336108631558,10.6076095898946,8.1119958029853,6.92794341511197,7.03169242540995,8.86577513482836,11.3680662579007,13.3522819413079,15.203901025984,30.1570899009705,31.131922033098,29.9315346082052,27.900643825531,25.2881277932061,22.4395563337538,21.8885891172621,22.8892114427355,24.4815636210971,27.0479876730177,28.0777611732483,29.066786342197,13.8888831377029,14.9921145575387,12.899728502546,10.564076587132,7.75339627947126,5.33002332959856,4.17529957635062,4.41649254390172,6.10921933310372,8.45680180958339,10.7990591185434,12.7645044599261,17.1882713049563,0.0465588893092272
20.70683,-34.43172,28,0.4,1,5.05,0.55,200193.770559211,655.320045471191,22.733240032196,11.7625791549683,70.75,5.84023706912994,124.85,42.3481269836426,48.0980290412903,73.9793246269226,66.6600524902344,57.1310328483582,50.6701970100403,59.014305305481,52.1191462516785,40.9133978843689,63.7190234661102,55.9468912124634,34.2848053693771,26.9695689201355,27.5447754330105,25.9199321534899,23.7017903857761,20.942895465427,18.8965763515896,18.0478239059448,18.2627405590481,19.9386422899034,22.434514257643,24.1229033999973,24.1229033999973,16.3313302993774,17.2533558739556,15.5094677077399,13.3082314597236,10.3553133540683,7.9011930624644,6.71063417858548,6.7069206767612,8.60436497794257,11.180045498742,13.1393939654032,14.9668045573764,30.6125723361969,31.5135833952162,30.2524089813232,28.3020515971714,25.4734701050652,22.7154867913988,22.0803784264459,22.9531368149651,24.6038678487142,27.3388468954298,28.5353277524312,29.6743316120572,13.7276349544525,14.9346016747611,12.722368826185,10.4538070678711,7.51567425046648,5.14355900628226,3.98281927789961,4.11235651288714,5.86300531114851,8.28428132193429,10.6044676644461,12.5492638996669,17.2490731726284,0.0126099064291989
20.57179,-34.37743,28.6,1.3,1.7,5,4.2,199480.940789474,654.585185241699,23.9292434692383,9.81001081466675,70.35,5.87162027359009,158.65,28.6718029022217,36.3967098236084,65.1469598770142,66.5297160148621,54.5350296974182,51.7034039497375,66.9953680038452,62.3977190971375,41.2366686820984,64.3375816822052,60.040446138382,47.7009491920471,29.0002456665039,29.0626446406047,27.5856005350749,24.6647515826755,21.7671689987183,18.8765828874376,18.2443689770169,19.1016270319621,21.2932687335544,23.8033381568061,25.719125005934,25.719125005934,14.4948165893555,14.9852505789863,13.5709785355462,10.770493666331,8.12268731329176,5.57716080877516,4.55135273933411,5.20638962586721,7.06365172068278,9.48756588829888,11.4365502993266,13.227739599016,32.6594704627991,33.0214111010234,31.9123216205173,29.2250196668837,26.2431194517348,22.6562498940362,22.2435230149163,23.7518846723768,25.9342110421922,28.6763751241896,30.1435525152418,31.7123386065165,11.9076960206032,12.691722869873,10.7994153022766,7.91973658970424,5.28317435128348,2.83375621523176,1.85292104312352,2.62316714014326,4.33384005682809,6.6036274773734,8.9124438558306,10.8484266689845,16.87048096332,0.063657956467154
20.57062,-34.3763,28.6,1.3,1.7,5,4.2,199480.940789474,654.585185241699,23.9292434692383,9.81001081466675,70.35,5.87162027359009,158.65,28.6718029022217,36.3967098236084,65.1469598770142,66.5297160148621,54.5350296974182,51.7034039497375,66.9953680038452,62.3977190971375,41.2366686820984,64.3375816822052,60.040446138382,47.7009491920471,29.0002456665039,29.0626446406047,27.5856005350749,24.6647515826755,21.7671689987183,18.8765828874376,18.2443689770169,19.1016270319621,21.2932687335544,23.8033381568061,25.719125005934,25.719125005934,14.4948165893555,14.9852505789863,13.5709785355462,10.770493666331,8.12268731329176,5.57716080877516,4.55135273933411,5.20638962586721,7.06365172068278,9.48756588829888,11.4365502993266,13.227739599016,32.6594704627991,33.0214111010234,31.9123216205173,29.2250196668837,26.2431194517348,22.6562498940362,22.2435230149163,23.7518846723768,25.9342110421922,28.6763751241896,30.1435525152418,31.7123386065165,11.9076960206032,12.691722869873,10.7994153022766,7.91973658970424,5.28317435128348,2.83375621523176,1.85292104312352,2.62316714014326,4.33384005682809,6.6036274773734,8.9124438558306,10.8484266689845,16.87048096332,0.063657956467154
20.64887,-34.42734,30.05,0.55,1.7,3.95,0.85,200034.410361842,579.711141967773,24.1720085144043,11.3257930755615,64.95,5.44119868278503,163.05,34.6340215682983,39.1505547523499,63.1024662971497,57.8398371696472,50.4249877929688,47.0080574989319,52.5535007476807,48.931778049469,37.1080160140991,55.7083030223846,51.3786653995514,33.6625382900238,29.0083598136902,29.2843788994683,27.6026355955336,24.9144431220161,22.1643028259277,19.4686919318305,18.8523663414849,19.4561772876316,21.4789623684353,23.9125018649631,25.8372815450033,25.8372815450033,16.0224453449249,16.5685564147102,14.9428549872504,12.4160146713257,9.69242933061388,7.16411309772068,6.25053066677517,6.53667865859138,8.48935458395216,10.9446053504944,12.9009375042386,14.7701031366984,32.6378413677216,33.2300296359592,31.9185423851013,29.4984347555372,26.6727520094977,23.2686483065287,22.8606316248576,24.1277515623305,26.1195943090651,28.7942838139004,30.2339516745673,31.732410536872,13.4397356271744,14.2729919433594,12.1727528027126,9.57743515287127,6.86487045288086,4.42703018188477,3.54741614886693,3.96335134506226,5.76584204265049,8.06488117490496,10.3906869343349,12.3822411400931,17.749923915547,0.0283981636264802
20.54655,-34.36737,29.15,0.85,1.7,4.45,1.85,199812.189967105,627.303106689453,24.1248958587646,10.7168766021729,68.5,5.70932545661926,162.45,26.6928343296051,34.7746466636658,60.7092326164246,63.5619822502136,52.2924182891846,50.6699133872986,65.8848103523254,60.7051502227783,39.2393047809601,60.9659446716309,56.5338344573975,46.2458913803101,29.0239980697632,29.1671519809299,27.7015823788113,24.9137253231472,22.2009417215983,19.1678350236681,18.581813706292,19.4384902318319,21.5084904564752,23.9117795096503,25.7917714648777,25.7917714648777,15.3750591754913,15.7818699412876,14.4092084566752,11.7045684920417,9.15103766653273,6.49372556474474,5.53550100326538,6.04203616248237,8.07391670015123,10.3615713119507,12.3246251742045,14.1198344760471,32.6973088264465,33.1316316392687,32.0378532409668,29.4820656246609,26.6801551183065,22.9482525719537,22.5826669798957,24.0908525254991,26.1542495091756,28.7902258237203,30.2232766681247,31.7731226815118,12.7822268247604,13.4810612542289,11.6294838769095,8.84379303795951,6.29993628093175,3.74049153327942,2.82657824925014,3.44670142446245,5.33596008845738,7.47138208661761,9.79310286385672,11.7305490902492,17.4217912906359,0.0750978493620541
24.11971,-33.697,69.2,2.8,0.85,0.65,16.35,198950.194078947,255.4955909729,21.6713045120239,8.40262017250061,31,3.89909374713898,98.15,27.7159130096436,27.6323513031006,34.0540128707886,22.219197511673,14.9421036243439,10.4569280982018,10.764458668232,16.1745569646358,12.4880552530289,20.9816581726074,26.4097823619843,29.7242047667503,25.0911121368408,26.3058965471056,24.7102073033651,22.6774887508816,20.3588785595364,17.4024816089206,17.2586579322815,17.7186773088243,19.4780865775214,21.3518564436171,23.2082827885946,23.2082827885946,13.3695748806,14.0487725469801,12.3700570000543,9.39454187287225,6.06633265813192,3.05348055230247,2.34967049625185,3.76866175068749,5.83558474646674,8.43760188420614,10.4063403341505,12.07337586085,29.3077313423157,30.516613430447,29.4145837889777,27.4863413704766,24.8249034881592,21.3547920121087,21.2425120406681,22.7212417390611,24.3957737286886,26.7353533638848,28.1664111349318,28.6774124569363,10.5820197105408,11.5636155809675,9.4085996900286,6.34641741343907,3.22540943963187,0.291977967534746,-0.397437562261309,0.993371970312936,3.04278674806867,5.48242280142648,7.66967059544155,9.4641777583531,15.0374290156935,-0.313423301487869
24.13613,-33.69302,64,2.6,0.95,0.95,15.45,198982.745888158,272.168774414063,21.7528561592102,8.4915816783905,32.9,3.99664082527161,99.9,29.4300828456879,29.2106612205505,35.8605619430542,23.1077892541885,16.307655441761,10.7093405127525,11.6726537704468,17.633495092392,14.3383900165558,22.5191951751709,27.8498673915863,31.3628738641739,25.1865643501282,26.3764397303263,24.8200641208225,22.7293075985379,20.4407712088691,17.5096685621474,17.3406657112969,17.8237176471286,19.5646422704061,21.3990582360162,23.2911978827582,23.2911978827582,13.4366659641266,14.1097488933139,12.4436535305447,9.52514476246304,6.1761446264055,3.13940269417233,2.45712182256911,3.88944144381417,5.96078428957197,8.54373470942179,10.4060008790758,12.1529875861274,29.399072265625,30.5792062017653,29.5164942741394,27.5423465304905,24.9071120156182,21.4679421318902,21.3284577793545,22.8328474362691,24.4791165987651,26.7837145063612,28.2391866577996,28.7282506095039,10.6430519104004,11.6211568559919,9.48136072158814,6.47352775846209,3.33344093731471,0.372560453414917,-0.293932846614293,1.11195713792528,3.16453379222325,5.58961341040475,7.66272807802473,9.54309383119856,15.1224786013059,-0.305419016613227
24.08711,-33.52221,84,4.8,1.15,0.9,32.05,198766.716282895,264.741524505615,22.0825166702271,7.90022535324097,29.85,4.30602679252624,116.85,31.2553277492523,30.3000427246094,33.2583847522736,23.8267430305481,15.3871754407883,8.61087099909782,10.1295431375504,14.8430608928204,10.8718223690987,21.4052048683167,29.1231615543365,32.6726191401482,26.5678956031799,27.3386403189765,25.3449150721232,22.5396441353692,19.958544837104,16.634349293179,16.6565654542711,17.6125179926554,19.6235327190823,22.2246219846937,24.526753531562,24.526753531562,13.6682053089142,14.1630105442471,12.3210984865824,8.90531823370192,4.97751167085436,1.44261099066999,0.853242838444809,2.6834364467197,5.32185302840339,8.31111306614346,10.3719029956394,12.2065253787571,30.9200273036957,31.6461190647549,30.1483963330587,27.4313909742567,24.4223622216119,20.628654162089,20.682447804345,22.6584428681268,24.6782132784526,27.7053888108995,29.6513593461778,30.2265978919135,10.8091712713242,11.6227213178362,9.28172146933419,5.77849652426583,2.06351815632411,-1.3979986676148,-2.00671906944896,-0.184813594818115,2.45319140979222,5.29445522853306,7.56153999056135,9.54450731277466,14.9920386868267,-0.360532323508209
