Inference for Bugs model at "scripts/multivariate/analyze-protea.jags", fit using jags,
 5 chains, each with 60000 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta[5,2]    0.007   0.022   0.000   0.000   0.000   0.000   0.075 1.005  1700
beta[6,2]    0.001   0.015  -0.020   0.000   0.000   0.000   0.032 1.013   860
beta[1,3]    0.193   0.171   0.000   0.000   0.191   0.326   0.530 1.033   120
beta[2,3]    0.321   0.120   0.139   0.233   0.300   0.398   0.587 1.034   130
beta[3,3]   -0.035   0.139  -0.295  -0.146   0.000   0.000   0.220 1.072    51
beta[4,3]   -0.061   0.112  -0.313  -0.146   0.000   0.000   0.161 1.050    71
beta[5,3]    0.017   0.038   0.000   0.000   0.000   0.017   0.132 1.004   870
beta[6,3]   -0.009   0.038  -0.138   0.000   0.000   0.000   0.015 1.016   520
beta[1,4]   -0.067   0.092  -0.267  -0.147   0.000   0.000   0.015 1.025   130
beta[2,4]   -0.005   0.053  -0.137   0.000   0.000   0.000   0.143 1.013   280
beta[3,4]   -0.130   0.106  -0.323  -0.211  -0.141   0.000   0.000 1.021   170
beta[4,4]   -0.199   0.080  -0.350  -0.253  -0.199  -0.147   0.000 1.025   130
beta[5,4]   -0.004   0.023  -0.087   0.000   0.000   0.000   0.021 1.014   750
beta[6,4]    0.013   0.034   0.000   0.000   0.000   0.000   0.126 1.008   990
beta[1,5]    0.093   0.198  -0.160   0.000   0.000   0.173   0.685 1.012   310
beta[2,5]    0.126   0.130  -0.030   0.000   0.132   0.238   0.353 1.020   170
beta[3,5]   -0.336   0.190  -0.757  -0.462  -0.291  -0.202   0.000 1.094    40
beta[4,5]   -0.082   0.125  -0.348  -0.169   0.000   0.000   0.122 1.045    90
beta[5,5]    0.020   0.046   0.000   0.000   0.000   0.011   0.157 1.010  1300
beta[6,5]   -0.042   0.113  -0.421   0.000   0.000   0.000   0.011 1.104    64
beta[1,6]   -0.117   0.142  -0.523  -0.190  -0.096   0.000   0.000 1.005  3100
beta[2,6]   -0.084   0.105  -0.357  -0.146  -0.046   0.000   0.000 1.008   400
beta[3,6]   -0.010   0.093  -0.220   0.000   0.000   0.000   0.187 1.014   300
beta[4,6]    0.120   0.103   0.000   0.000   0.129   0.198   0.321 1.019   180
beta[5,6]    0.073   0.126   0.000   0.000   0.000   0.098   0.422 1.036   130
beta[6,6]    0.066   0.138   0.000   0.000   0.000   0.039   0.478 1.060    94
beta[1,7]   -0.134   0.163  -0.551  -0.216  -0.097   0.000   0.001 1.007   680
beta[2,7]    0.006   0.096  -0.192   0.000   0.000   0.000   0.245 1.010   350
beta[3,7]   -0.036   0.130  -0.272  -0.138   0.000   0.000   0.234 1.058    59
beta[4,7]   -0.128   0.109  -0.302  -0.214  -0.145   0.000   0.080 1.017   190
beta[5,7]    0.003   0.029  -0.012   0.000   0.000   0.000   0.067 1.020   440
beta[6,7]    0.041   0.097   0.000   0.000   0.000   0.000   0.347 1.091    65
beta[1,8]    0.015   0.051  -0.023   0.000   0.000   0.000   0.197 1.024   340
beta[2,8]   -0.038   0.060  -0.187  -0.077   0.000   0.000   0.000 1.009   360
beta[3,8]    0.092   0.078   0.000   0.000   0.106   0.155   0.230 1.007   500
beta[4,8]    0.156   0.071   0.000   0.114   0.161   0.204   0.281 1.008   480
beta[5,8]    0.000   0.011  -0.008   0.000   0.000   0.000   0.021 1.017   980
beta[6,8]    0.002   0.013   0.000   0.000   0.000   0.000   0.045 1.003  2600
beta[1,9]    0.133   0.167  -0.182   0.000   0.131   0.270   0.437 1.018   190
beta[2,9]   -0.100   0.136  -0.439  -0.175  -0.036   0.000   0.039 1.032   130
beta[3,9]   -0.248   0.150  -0.562  -0.333  -0.238  -0.162   0.000 1.079    46
beta[4,9]   -0.131   0.128  -0.344  -0.240  -0.145   0.000   0.096 1.051    66
beta[5,9]    0.074   0.127   0.000   0.000   0.000   0.099   0.426 1.033   140
beta[6,9]    0.049   0.112  -0.013   0.000   0.000   0.000   0.372 1.039   130
gamma[1,1]   0.110   0.313   0.000   0.000   0.000   0.000   1.000 1.002  2800
gamma[2,1]   0.139   0.346   0.000   0.000   0.000   0.000   1.000 1.003  1500
gamma[3,1]   0.114   0.317   0.000   0.000   0.000   0.000   1.000 1.025   240
gamma[4,1]   0.126   0.332   0.000   0.000   0.000   0.000   1.000 1.011   480
gamma[5,1]   0.102   0.303   0.000   0.000   0.000   0.000   1.000 1.003  2000
gamma[6,1]   0.078   0.268   0.000   0.000   0.000   0.000   1.000 1.012   640
gamma[1,2]   0.390   0.488   0.000   0.000   0.000   1.000   1.000 1.007   460
gamma[2,2]   0.420   0.494   0.000   0.000   0.000   1.000   1.000 1.010   330
gamma[3,2]   0.845   0.362   0.000   1.000   1.000   1.000   1.000 1.010   450
gamma[4,2]   0.329   0.470   0.000   0.000   0.000   1.000   1.000 1.012   260
gamma[5,2]   0.190   0.392   0.000   0.000   0.000   0.000   1.000 1.007   600
gamma[6,2]   0.097   0.296   0.000   0.000   0.000   0.000   1.000 1.009   730
gamma[1,3]   0.696   0.460   0.000   0.000   1.000   1.000   1.000 1.015   220
gamma[2,3]   0.996   0.066   1.000   1.000   1.000   1.000   1.000 1.016  5000
gamma[3,3]   0.601   0.490   0.000   0.000   1.000   1.000   1.000 1.021   150
gamma[4,3]   0.572   0.495   0.000   0.000   1.000   1.000   1.000 1.018   170
gamma[5,3]   0.296   0.457   0.000   0.000   0.000   1.000   1.000 1.002  1800
gamma[6,3]   0.154   0.361   0.000   0.000   0.000   0.000   1.000 1.004  1100
gamma[1,4]   0.461   0.499   0.000   0.000   0.000   1.000   1.000 1.025   130
gamma[2,4]   0.265   0.441   0.000   0.000   0.000   1.000   1.000 1.003  1300
gamma[3,4]   0.717   0.451   0.000   0.000   1.000   1.000   1.000 1.018   190
gamma[4,4]   0.960   0.197   0.000   1.000   1.000   1.000   1.000 1.063   210
gamma[5,4]   0.125   0.330   0.000   0.000   0.000   0.000   1.000 1.001  3500
gamma[6,4]   0.194   0.395   0.000   0.000   0.000   0.000   1.000 1.007   540
gamma[1,5]   0.460   0.498   0.000   0.000   0.000   1.000   1.000 1.005   700
gamma[2,5]   0.615   0.487   0.000   0.000   1.000   1.000   1.000 1.012   260
gamma[3,5]   0.961   0.193   0.000   1.000   1.000   1.000   1.000 1.026   530
gamma[4,5]   0.517   0.500   0.000   0.000   1.000   1.000   1.000 1.021   150
gamma[5,5]   0.276   0.447   0.000   0.000   0.000   1.000   1.000 1.002  2300
gamma[6,5]   0.213   0.409   0.000   0.000   0.000   0.000   1.000 1.035   120
gamma[1,6]   0.584   0.493   0.000   0.000   1.000   1.000   1.000 1.008   400
gamma[2,6]   0.568   0.495   0.000   0.000   1.000   1.000   1.000 1.013   250
gamma[3,6]   0.429   0.495   0.000   0.000   0.000   1.000   1.000 1.008   410
gamma[4,6]   0.686   0.464   0.000   0.000   1.000   1.000   1.000 1.040    87
gamma[5,6]   0.430   0.495   0.000   0.000   0.000   1.000   1.000 1.013   240
gamma[6,6]   0.298   0.457   0.000   0.000   0.000   1.000   1.000 1.018   190
gamma[1,7]   0.582   0.493   0.000   0.000   1.000   1.000   1.000 1.009   370
gamma[2,7]   0.416   0.493   0.000   0.000   0.000   1.000   1.000 1.002  2200
gamma[3,7]   0.534   0.499   0.000   0.000   1.000   1.000   1.000 1.026   120
gamma[4,7]   0.743   0.437   0.000   0.000   1.000   1.000   1.000 1.004  1000
gamma[5,7]   0.148   0.355   0.000   0.000   0.000   0.000   1.000 1.005   930
gamma[6,7]   0.248   0.432   0.000   0.000   0.000   0.000   1.000 1.035   110
gamma[1,8]   0.182   0.386   0.000   0.000   0.000   0.000   1.000 1.004   940
gamma[2,8]   0.390   0.488   0.000   0.000   0.000   1.000   1.000 1.011   300
gamma[3,8]   0.682   0.466   0.000   0.000   1.000   1.000   1.000 1.006   540
gamma[4,8]   0.934   0.249   0.000   1.000   1.000   1.000   1.000 1.026   340
